Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
AU,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,4,0.0,0,2,0.0,0,12,0.0
CN,None,0401_jo_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
CN,None,0401_jo_test02,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
CN,None,0401_jo_test03,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
CN,None,0401_lucy_test02android_id=afc190c0fca92785,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
CN,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,25,0.0,0,2,0.0,0,26,0.0
CN,None,new_0405_jo_note4_test1,None,N/A,3,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
HK,None,AppsFlyer_Test,None,N/A,6,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
HK,None,Organic,None,N/A,N/A,N/A,3,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,15,0.0,0,10,0.0,0,29,0.0
JP,None,0407_jo_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
JP,None,JO_0405,TEST1,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
JP,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,2,0.0,0,1,0.0,0,4,0.0
JP,None,new_0405_jo_note4_test1,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
JP,None,test_0405_jo,test2,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
JP,None,test_0405_jo_test03,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
KR,None,Organic,None,N/A,N/A,N/A,1,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,3,0.0,0,1,0.0,0,4,0.0
MY,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1),N/A,N/A,N/A,1,N/A,50,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,13,0.0,1,1,0.0,1,21,0.0
MY,None,Organic,None,N/A,N/A,N/A,4,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,19,0.0,0,5,0.0,0,52,0.0
SG,None,Organic,None,N/A,N/A,N/A,2,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,4,0.0,0,2,0.0,0,21,0.0
TW,None,0402_jason_test01,None,N/A,1,N/A,2,2.0000,36,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,15,0.0,1,1,0.0,2,21,0.0
TW,None,0402_jason_test02,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,0406_jason_test01,None,N/A,1,N/A,1,1.0000,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,1,6,0.0
TW,None,0406_kate_test01,None,N/A,1,N/A,1,1.0000,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,9,0.0,0,0,0.0,1,2,0.0
TW,None,0406_yun_test01,None,N/A,1,N/A,1,1.0000,26,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,0,0,0.0
TW,None,0407_gashwebtest,None,N/A,7,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,0407_jason_test02,None,N/A,1,N/A,1,1.0000,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,0,0,0.0,1,1,0.0
TW,None,0407_jessy_test01,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,0407_jessy_test02,None,N/A,1,N/A,1,1.0000,49,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,17,0.0,1,2,0.0,1,2,0.0
TW,None,0407_jo_test01,None,N/A,1,N/A,1,1.0000,9,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,3,0.0,1,1,0.0,1,10,0.0
TW,None,0407_jo_test02,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,3,0.0,0,0,0.0,0,0,0.0
TW,None,0407_kate_test01,None,N/A,1,N/A,1,1.0000,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,10,0.0,1,1,0.0,1,26,0.0
TW,None,0407_kate_test02,None,N/A,1,N/A,1,1.0000,6,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,0,0,0.0,1,5,0.0
TW,None,0407_lucy_test01,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,3,0.0
TW,None,0407_lucy_test02,None,N/A,1,N/A,1,1.0000,9,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,1,1,0.0,0,0,0.0
TW,None,0407_yun_test01,None,N/A,1,N/A,1,1.0000,25,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,11,0.0,1,1,0.0,1,14,0.0
